Fecha,Venta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2017,56098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/08/2017,66051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/15/2017,60324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22897,22175,24454,27253,25540,24617,27568,26117,29859,21029,31007,25684,30976,25406,36157,40523,42181,42450,42410,42818,42833,26238,25863,31330,30722,30179,36882,38750,38069,42888,28132,21135,26669,28954,37131,36525,32415,36864,39205,36677,34020,29013,32401,33723,31038,32762,30420,27683,30424,39451,,,,,,,,,,,,,
05/22/2017,59791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459,527,200,326,347,247,364,-327,-899,-4391,-655,-13184,-1418,-205,13024,38336,42016,42320,42328,42817,42828,77,-51408,-18211,-27809,-16009,-8517,3985,-5655,-3290,-146,326,214,1641,3288,-998,-5821,758,509,643,868,730,449,604,801,425,16192,9838,184,95,,,,,,,,,,,,,
05/29/2017,55493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPP1217Da,SPP1317Da,SPP1317Da,SPP1317Da,SPP0118Da,SPP0118Da,SPP0118Da,SPP0118Da,SPP0218Da,SPP0218Da,SPP0218Da,SPP0218,SPP0318,SPP0318,SPP0318,SPP0318,,,,SPP0418Da,SPP0518Da,SPP0518Da,SPP0518Da,SPP0518,SPP0618,SPP0618,SPP0618,SPP0618,SPP0718Da,SPP0718Da,SPP0718Da,,SPP0818Da,SPP0818Da,SPP0818Da,SPP0818Da,SPP0818,SPP0918,SPP0918,SPP0918,SPP0918,,,,,,,,,,,,SPP1218Po,SPP1318Po,SPP1318Po,SPP1318Po,SPP1318Po,,,,SPP0119,SPP0219,SPP0219,SPP0219,SPP0219,SPP0319,SPP0319,SPP0319,SPP0319,SPP0419,SPP0419,SPP0419,SPP0419,SPP0519,SPP0519,SPP0519,SPP0519,SPP0619,SPP0619,SPP0619,SPP0619,SPP0719,SPP0719,SPP0719,SPP0719,SPP0819,PEP0819,PEP0819,PEP0819,SPP0919,SPP0919,PEP0919,PEP0919,PEP1019,PEP1019,PEP1019,PEP1119,PEP1119Da,PEP1119Da,PEP1119Da,PEP1119Da,PEP1219Da,PEP1219Da,PEP1219Da,PEP1219Da,PEP1319Da,PEP1319Da,PEP1319Da,PEP1319Da,SPP0120,SPP0120,SPP0120,PEP0220St,SPP0220Pl,SPP0220Pl,SPP0220Pl,SPP0220Da,SPP0320St,SPP0320St,SPP0320St,SPP0320St,SPP0420Da,SPP0420Da,SPP0420Da,PEP0420,PEP0520,PEP0520,PEP0520,PEP0520,,,PEP0620,PEP0620,PEP0720,PEP0720,PEP0720,SPP0720Da,,,,,,,SPP0920Da,SPP1020Da,,PEP1020,SPP1020Da,SPP1020Da,SPP1120Da,SPP1120Da,SPP1120Da,SPP1120,SPP1220,SPP1220,SPP1220,SPP1220,SPP1320,SPP1320,SPP1320,SPP1320,SPP0121Da,SPP0121Da,SPP0121Da,SPP0121Da,PEP0221,PEP0221,SPP0221Da,SPP0221Da,SPP0321Da,SPP0321Da,SPP0321Da,SPP0321Da
06/05/2017,66499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/12/2017,78028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/19/2017,57135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/26/2017,57591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/03/2017,48512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/10/2017,47382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/17/2017,59794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
